Time,BlinkRate,Stress,Distraction,CognitiveLoad
1776098229.7847471,22,0.535188584196272,0.4684719128935674,56
1776098229.815835,22,0.5516329547046167,0.49449813027653744,57
1776098229.848759,22,0.5516329547046167,0.41641947812760954,55
1776098229.8832471,22,0.5381180761983543,0.3903932607446395,55
1776098229.915461,22,0.5216737056900097,0.3903932607446395,55
1776098229.948896,22,0.48878496467332017,0.4424456955105973,55
1776098229.982429,22,0.4684586048778134,0.05205243476595785,49
1776098230.01564,22,0.4917144566754026,0.41641947812760954,55
1776098230.0502698,22,0.4878324673882405,0.4164194781276273,54
1776098230.083277,22,0.5030634025784592,0.9629700431701226,63
1776098230.117676,22,0.5906223630582548,1.6656779125104737,75
1776098230.150808,22,0.7018509673295057,1.6656779125104737,76
1776098230.182795,22,0.7937057090903296,1.6396516951274858,77
1776098230.242399,22,0.8454906241234964,0.9369438257871348,68
1776098230.282402,22,0.9476282957362812,0.780786521489279,67
1776098230.316169,22,0.9766350474658084,0.8328389562552191,68
1776098230.349602,22,0.9668940741744815,0.8068127388722668,68
1776098230.381923,22,1.016227185699516,1.1451535648509306,73
1776098230.422705,22,1.069550370583939,0.9369438257871348,71
1776098230.450272,22,1.1063211008877902,1.1451535648509306,75
1776098230.482987,22,1.1469738204788043,0.3643670433616517,64
1776098230.5156858,22,1.1989754859728745,0.8068127388722668,71
1776098230.5497239,22,1.1989754859728743,0.6246292171914232,68
1776098230.581544,22,1.2154198564812189,0.780786521489279,71
1776098230.615712,22,1.2357462162767257,0.780786521489279,71
1776098230.648746,22,1.2928433063760842,0.7287340867233388,71
1776098230.6821902,22,1.3056226238414708,0.9889962605530749,75
1776098230.715957,22,1.3056226238414708,0.9369438257871348,75
1776098230.748658,22,1.2865096993640897,0.780786521489279,72
1776098230.783068,22,1.2057622201735383,0.7547603041062911,70
1776098230.815288,22,1.0577628855984358,0.6246292171914232,66
1776098230.849369,22,0.9590966625483675,0.8068127388722668,67
